Name; Core-Influence Strength Metric
Graph_files/isis-links.json_sample1;4.0
Graph_files/isis-links.json_sample2;4.3
Graph_files/isis-links.json_sample3;4.066666666666666
Graph_files/isis-links.json_sample4;4.166666666666667
Graph_files/isis-links.json_sample5;5.238095238095238
Graph_files/isis-links.json_sample6;5.416666666666667
Graph_files/isis-links.json_sample7;7.461538461538462
Graph_files/isis-links.json_sample8;7.444444444444445
Graph_files/isis-links.json;6.928571428571429
Graph_files/TGF_Files/bfn.tgf_;2.0
Graph_files/TGF_Files/cpt.tgf_;5.285714285714286
Graph_files/TGF_Files/dur.tgf_;5.666666666666667
Graph_files/TGF_Files/els.tgf_;3.0
Graph_files/TGF_Files/jnb.tgf_;5.5
Graph_files/TGF_Files/pta.tgf_;4.142857142857143
Graph_files/TGF_Files/pzb.tgf_;2.5
Graph_files/TGF_Files/vdp.tgf_;1.0
