Node;Core Influences
5;0.474578997876255
1;0.4271210980886294
22;0.2372894989381153
32;0.14237369936287733
51;0.14237369936287647
56;0.1423736993628749
28;0.14237369936287073
29;0.1423736993628706
26;0.14237369936286723
24;0.09491579957525378
20;0.09491579957525367
18;0.09491579957525328
16;0.09491579957525316
19;0.09491579957525273
31;0.09491579957525201
21;0.09491579957525195
14;0.09491579957525194
30;0.09491579957525176
34;0.09491579957525152
35;0.09491579957525148
33;0.09491579957525134
52;0.09491579957525123
37;0.09491579957525113
60;0.09491579957525109
61;0.09491579957525105
36;0.0949157995752509
43;0.09491579957525041
13;0.09491579957525034
57;0.09491579957525031
58;0.09491579957525023
41;0.09491579957525015
44;0.09491579957524979
55;0.0949157995752495
54;0.09491579957524948
23;0.09491579957524943
40;0.09491579957524927
45;0.09491579957524925
46;0.09491579957524876
15;0.0949157995752487
42;0.09491579957524865
39;0.09491579957524846
3;0.09491579957524834
50;0.09491579957524829
38;0.09491579957524798
48;0.09491579957524776
11;0.09491579957524775
17;0.09491579957524732
49;0.09491579957524707
47;0.09491579957524704
9;0.09491579957524598
27;0.09491579957524524
8;0.09491579957524462
10;0.09491579957524415
2;0.047457899787625546
59;0.04745789978762553
6;0.047457899787625504
7;0.0474578997876255
53;0.04745789978762493
4;0.04745789978762381
25;0.04745789978762313
12;0.047457899787622694
