graph,strategy,step,num_edges_added_this_step,edges_added,nr_aG_baseline,nr_e0_mult_baseline,nr_e1_mult_baseline,nr_CIS_baseline,nr_aG_before,nr_e0_mult_before,nr_e1_mult_before,nr_CIS_before,nr_aG_after,nr_e0_mult_after,nr_e1_mult_after,nr_CIS_after,nr_cumAUC_aG,nr_cumAUC_e0_mult,nr_cumAUC_e1_mult,nr_cumAUC_CIS,aG_before,aG_after,Delta_aG,aG_baseline0,AUC_aG__betweeness,AUC_e0_mult__betweeness,AUC_e1_mult__betweeness,AUC_CIS__betweeness,Delta_aG_vs_random__betweeness,Delta_e0_mult_vs_random__betweeness,Delta_e1_mult_vs_random__betweeness,Delta_CIS_vs_random__betweeness,AUC_aG__closeness,AUC_e0_mult__closeness,AUC_e1_mult__closeness,AUC_CIS__closeness,Delta_aG_vs_random__closeness,Delta_e0_mult_vs_random__closeness,Delta_e1_mult_vs_random__closeness,Delta_CIS_vs_random__closeness,AUC_aG__core_influence,AUC_e0_mult__core_influence,AUC_e1_mult__core_influence,AUC_CIS__core_influence,Delta_aG_vs_random__core_influence,Delta_e0_mult_vs_random__core_influence,Delta_e1_mult_vs_random__core_influence,Delta_CIS_vs_random__core_influence,AUC_aG__degree,AUC_e0_mult__degree,AUC_e1_mult__degree,AUC_CIS__degree,Delta_aG_vs_random__degree,Delta_e0_mult_vs_random__degree,Delta_e1_mult_vs_random__degree,Delta_CIS_vs_random__degree,AUC_aG__random,AUC_e0_mult__random,AUC_e1_mult__random,AUC_CIS__random,Delta_aG_vs_random__random,Delta_e0_mult_vs_random__random,Delta_e1_mult_vs_random__random,Delta_CIS_vs_random__random
cpt,random_add,1,1,CPT-GREYBEL1-TSN208-USTYG--BLOEM2,0.07631,1,12,5.28571,0.07631,1,12,5.28571,0.0771,1,11,5.42857,0.0767,1.0,11.5,5.35714,0.07631,0.0771,0.0008,0.07631,0.00113,20.47059,2.04412,1.35548,-0.00071,14.63235,-4.89706,-0.6337,0.00113,11.16176,1.97059,1.59975,-0.00071,5.32353,-4.97059,-0.38943,0.00113,19.64706,3.0,1.53377,-0.00071,13.80882,-3.94118,-0.45541,0.00113,20.88235,2.52941,1.47342,-0.00071,15.04412,-4.41176,-0.51576,0.00184,5.83824,6.94118,1.98918,0.0,0.0,0.0,0.0
cpt,random_add,2,1,CPT-GREYSS1-TSN495-UCTVH--CPT-GREYCBD1-TSN4-CPUTCPT,0.07631,1,12,5.28571,0.0771,1,11,5.42857,0.09548,1,11,5.42857,0.08296,1.0,11.33333,5.38095,0.0771,0.09548,0.01837,0.07631,0.0014,20.19118,1.89706,1.33936,-0.00141,11.70588,-2.77941,-1.46649,0.0014,10.52941,1.92647,1.66712,-0.00141,2.04412,-2.75,-1.13873,0.0014,21.89706,2.25,1.43713,-0.00141,13.41176,-2.42647,-1.36871,0.0014,20.73529,2.48529,1.48988,-0.00141,12.25,-2.19118,-1.31597,0.00281,8.48529,4.67647,2.80585,0.0,0.0,0.0,0.0
cpt,random_add,3,1,CPT-GREYBEL1-TSN208-USTYG--AMLIGHT,0.07631,1,12,5.28571,0.09548,1,11,5.42857,0.09678,1,10,5.57143,0.08642,1.0,11.0,5.42857,0.09548,0.09678,0.0013,0.07631,0.00142,19.86765,2.29412,1.35301,0.0,13.70588,-3.91176,-1.25774,0.00142,10.25,2.07353,1.68743,0.0,4.08824,-4.13235,-0.92332,0.00142,21.04412,2.89706,1.47526,0.0,14.88235,-3.30882,-1.13549,0.00142,20.60294,2.58824,1.49207,0.0,14.44118,-3.61765,-1.11868,0.00142,6.16176,6.20588,2.61075,0.0,0.0,0.0,0.0
cpt,random_add,4,1,CPT-GREYBEL1-TSN174-UNIBEL--CPT2,0.07631,1,12,5.28571,0.09678,1,10,5.57143,0.10124,1,11,5.71429,0.08938,1.0,11.0,5.48571,0.09678,0.10124,0.00446,0.07631,0.00149,19.67647,2.33824,1.42052,-0.00405,14.82353,-2.55882,-0.68957,0.00149,10.47059,2.20588,1.63018,-0.00405,5.61765,-2.69118,-0.4799,0.00149,20.75,2.77941,1.52052,-0.00405,15.89706,-2.11765,-0.58957,0.00149,20.55882,2.64706,1.49774,-0.00405,15.70588,-2.25,-0.61234,0.00554,4.85294,4.89706,2.11008,0.0,0.0,0.0,0.0
cpt,random_add,5,1,CPT-GREYCBD2-TSN109-SANAP--CPT-GREYSS2-TSN168-UCTRCCH,0.07631,1,12,5.28571,0.10124,1,11,5.71429,0.10125,1,11,5.71429,0.09136,1.0,11.0,5.52381,0.10124,0.10125,0.0,0.07631,0.00149,19.22059,2.33824,1.44769,-0.00513,12.72059,-4.05882,-1.61432,0.00149,9.80882,2.32353,1.66292,-0.00513,3.30882,-4.07353,-1.39909,0.00149,21.54412,2.89706,1.46014,-0.00513,15.04412,-3.5,-1.60187,0.00149,21.29412,2.32353,1.46688,-0.00513,14.79412,-4.07353,-1.59513,0.00662,6.5,6.39706,3.06201,0.0,0.0,0.0,0.0
cpt,random_add,6,1,BLOEM--WITS,0.07631,1,12,5.28571,0.10125,1,11,5.71429,0.10125,1,10,6.0,0.09277,1.0,10.85714,5.59184,0.10125,0.10125,0.0,0.07631,0.00149,18.45588,2.30882,1.49058,-0.0054,8.64706,-2.29412,-0.69328,0.00149,9.42647,2.27941,1.67489,-0.0054,-0.38235,-2.32353,-0.50896,0.00149,20.95588,2.70588,1.44308,-0.0054,11.14706,-1.89706,-0.74077,0.00149,20.80882,2.33824,1.48768,-0.0054,11.0,-2.26471,-0.69618,0.00689,9.80882,4.60294,2.18386,0.0,0.0,0.0,0.0
cpt,random_add,7,1,CPT-GREYBEL1-TSN147-CPUTT--CPT-GREYSS2-TSN165-UCTLGR,0.07631,1,12,5.28571,0.10125,1,10,6.0,0.10199,1,10,6.0,0.09392,1.0,10.75,5.64286,0.10125,0.10199,0.00074,0.07631,0.0015,18.17647,2.61765,1.42591,-0.00841,11.83824,-3.30882,-1.54853,0.0015,9.27941,2.38235,1.73976,-0.00841,2.94118,-3.54412,-1.23468,0.0015,19.61765,3.25,1.51961,-0.00841,13.27941,-2.67647,-1.45483,0.0015,20.67647,2.32353,1.49912,-0.00841,14.33824,-3.60294,-1.47532,0.00991,6.33824,5.92647,2.97444,0.0,0.0,0.0,0.0
cpt,random_add,8,1,CPT-GREYBEL1-TSN147-CPUTT--CPT9,0.07631,1,12,5.28571,0.10199,1,10,6.0,0.10204,1,10,6.28571,0.09483,1.0,10.66667,5.71429,0.10199,0.10204,5e-05,0.07631,0.0015,18.05882,2.73529,1.50721,-0.01708,13.92647,-1.29412,-1.27994,0.0015,9.33824,2.30882,1.73396,-0.01708,5.20588,-1.72059,-1.05319,0.0015,20.35294,3.20588,1.56054,-0.01708,16.22059,-0.82353,-1.22661,0.0015,20.63235,2.47059,1.5204,-0.01708,16.5,-1.55882,-1.26675,0.01858,4.13235,4.02941,2.78715,0.0,0.0,0.0,0.0
cpt,random_add,9,1,CPT-GREYBEL1-TSN812-UWC-DIH--CPT-GREYSS1-TSN145-CPUTM,0.07631,1,12,5.28571,0.10204,1,10,6.28571,0.13163,1,9,6.28571,0.09851,1.0,10.5,5.77143,0.10204,0.13163,0.02959,0.07631,0.00194,18.14706,2.76471,1.49986,-0.00796,11.11765,-4.01471,-1.31292,0.00194,9.16176,2.72059,1.675,-0.00796,2.13235,-4.05882,-1.13778,0.00194,20.39706,2.85294,1.51919,-0.00796,13.36765,-3.92647,-1.29359,0.00194,20.44118,2.58824,1.51278,-0.00796,13.41176,-4.19118,-1.3,0.00989,7.02941,6.77941,2.81278,0.0,0.0,0.0,0.0
cpt,random_add,10,1,CPT-GREYBEL1-TSN22-MRCCPT-PE--CPT-GREYSS1-TSN145-CPUTM,0.07631,1,12,5.28571,0.13163,1,9,6.28571,0.13205,1,9,6.42857,0.10155,1.0,10.36364,5.83117,0.13163,0.13205,0.00042,0.07631,0.00194,18.98529,2.39706,1.42792,-0.00649,8.20588,-2.60294,-1.04018,0.03135,9.91176,2.29412,1.71789,0.02292,-0.86765,-2.70588,-0.75021,0.00194,20.80882,3.26471,1.50996,-0.00649,10.02941,-1.73529,-0.95814,0.00194,20.54412,2.64706,1.48862,-0.00649,9.76471,-2.35294,-0.97948,0.00843,10.77941,5.0,2.4681,0.0,0.0,0.0,0.0
