step,num_edges_added,edges_added,aG,e0_mult,e1_mult,CIS,AUC_aG,AUC_e0_mult,AUC_e1_mult,AUC_CIS
0,0,,0.77546617721373,1.0,4.0,2.5,0.77546617721373,1.0,4.0,2.5
1,1,PZB-TSN670-ARC-CACWL--PZB-GREY1-TSN384-SANBIP,0.8725863832262877,1.0,3.0,3.0,0.8240262802200089,1.0,3.5,2.75
2,1,DUR--PZB-GREY1-TSN384-SANBIP,0.9264231577143189,1.0,3.0,4.0,0.8581585727181121,1.0,3.3333333333333335,3.1666666666666665
3,1,PZB-TSN267-SAEON-GWFN--PZB-GREY1-TSN384-SANBIP,0.9601620177421626,1.0,2.0,5.0,0.8836594339741248,1.0,3.0,3.625
4,1,DUR3--PZB-GREY1-TSN384-SANBIP,0.9832267217746307,1.0,1.0,6.0,0.9035728915342259,1.0,2.6,4.1
5,1,PZB-TSN534-HSRC-SW--PZB-GREY1-TSN384-SANBIP,1.226743070794746,1.0,0.0,7.0,0.9574345880776459,1.0,2.1666666666666665,4.583333333333333
6,1,PZB-TSN534-HSRC-SW--PZB-GREY1-TSN10-DUTRC,1.4852583211900126,1.0,0.0,7.0,1.0328379785222697,1.0,1.8571428571428572,4.928571428571429
7,1,PZB-TSN670-ARC-CACWL--PZB-GREY1-TSN10-DUTRC,1.6479935689450878,1.0,0.0,2.5,1.1097324273251221,1.0,1.625,4.625
8,1,DUR--PZB-GREY1-TSN385-CGSP,1.7868270648747222,1.0,0.0,3.0,1.1849651648306332,1.0,1.4444444444444444,4.444444444444445
9,1,DUR3--PZB-GREY1-TSN385-CGSP,1.8766705966063253,1.0,0.0,4.0,1.2541357080082025,1.0,1.3,4.4
10,1,PZB-GREY1-TSN383-DUTI--PZB-GREY1-TSN10-DUTRC,1.9483732418816337,1.0,0.0,5.0,1.3172482110876051,1.0,1.1818181818181819,4.454545454545454
